Media Source,Date,Text,Compound,Positive,Neutral,Negative,Tweet Count
@BBC,Tue Apr 24 08:47:41 +0000 2018,"RT @BBCGetIn: **DEADLINE ALERT**

Just 4 days left to apply for our Communications Trainee Scheme!

Applications close on Thursday 26th Apr…",0.0,0.0,1.0,0.0,52
@BBC,Tue Apr 24 08:01:02 +0000 2018,❤️ This make-up artist is using her skills to help scarred women feel beautiful again. https://t.co/BuQ3vMwtPn,0.765,0.32,0.68,0.0,53
@BBC,Tue Apr 24 07:29:05 +0000 2018,"🌈👀 Did you know that depending on what language you speak, your eye perceives colours – and the world – differently… https://t.co/Q6Cn2rteK3",0.0,0.0,1.0,0.0,54
@BBC,Tue Apr 24 07:00:08 +0000 2018,"‘I’m determined to prove the terrorists wrong.’

Martin was paralysed in the Manchester Arena attack and is now tra… https://t.co/qTRSdGxBeJ",-0.7003,0.09,0.639,0.271,55
@BBC,Mon Apr 23 19:15:23 +0000 2018,"RT @BBCTwo: It's #ShakespearesBirthday so here's Hamlet's famous ""To be or not to be"" speech, performed by Andrew Scott! 📜🎭🎂 https://t.co/b…",0.0,0.0,1.0,0.0,56
@BBC,Mon Apr 23 18:53:11 +0000 2018,👶💖 The Duke and Duchess of Cambridge introduce their new son to the world. https://t.co/nmrD1axv6Y,0.0,0.0,1.0,0.0,57
@BBC,Mon Apr 23 18:01:04 +0000 2018,✈️ Do you know how to wear an oxygen mask?  https://t.co/pf8lvubtc9,0.0,0.0,1.0,0.0,58
@BBC,Mon Apr 23 16:58:47 +0000 2018,RT @BBCBreaking: The Duke and Duchess of Cambridge show off new son outside London hospital https://t.co/lGZ2YAK7um #royalbaby https://t.co…,0.0,0.0,1.0,0.0,59
@BBC,Mon Apr 23 16:23:06 +0000 2018,❤️ The Duke of Cambridge has arrived at hospital with Prince George &amp; Princess Charlotte following birth of their b… https://t.co/w0QF6vPprS,0.0,0.0,1.0,0.0,60
@BBC,Mon Apr 23 16:01:07 +0000 2018,"😂 That time the police busted Mary Berry smuggling ingredients into America… 
#TheGNShow https://t.co/slxL3klU3h",-0.4767,0.0,0.795,0.205,61
@BBC,Mon Apr 23 15:32:35 +0000 2018,"How much do you know about England, the English and the frequently odd things they do and eat? Celebrate… https://t.co/zCiIrdYYkW",-0.3182,0.0,0.892,0.108,62
@BBC,Mon Apr 23 15:03:01 +0000 2018,"How does plastic actually enter our oceans? 
#OurBluePlanet  https://t.co/LdOt9inVFS",0.0,0.0,1.0,0.0,63
@BBC,Mon Apr 23 13:53:37 +0000 2018,RT @BBCNews: #royalbaby: Formal notice of birth displayed on forecourt of Buckingham Palace https://t.co/jU2MrpGseg https://t.co/wWgoKAeFaJ,0.0,0.0,1.0,0.0,64
@BBC,Mon Apr 23 13:32:04 +0000 2018,🐶❤️ Australian police have praised a dog for remaining with a three-year-old girl as she spent a night lost in bush… https://t.co/oGu1MgHiI0,0.2263,0.142,0.756,0.102,65
@BBC,Mon Apr 23 12:33:00 +0000 2018,"Beth is a trainee nurse about to start working in A&amp;E. 🏥🚑

Can former nurse Una calm her nerves via a hidden earpie… https://t.co/Z1HXesGbkQ",0.2263,0.097,0.844,0.059,66
@BBC,Mon Apr 23 12:09:01 +0000 2018,"👶❤️ It's a boy! 

The Duchess of Cambridge gives birth to her third child, who is fifth in line to throne. 
👉… https://t.co/txzbor7jKG",0.0,0.0,1.0,0.0,67
@BBC,Mon Apr 23 11:27:23 +0000 2018,"Arthur? Albert? Mary? Alice?

As the Duchess of Cambridge goes into labour with her third child, speculation contin… https://t.co/3a65q968kv",0.0,0.0,1.0,0.0,68
@BBC,Mon Apr 23 11:00:19 +0000 2018,"From Cold War spy station to Europe’s largest graffiti gallery.
👉https://t.co/gesQ2io25H https://t.co/7FcEBRJepr",-0.5994,0.0,0.738,0.262,69
@BBC,Mon Apr 23 10:59:52 +0000 2018,"RT @BBC_Culture: Beyond their literary value, do stories have the power to change the world? @clemencybh #100Stories https://t.co/P5tqktMh0…",0.34,0.124,0.876,0.0,70
@BBC,Mon Apr 23 09:35:20 +0000 2018,"RT @BBCOne: Can @nilerogers &amp; Chic condense a lifetime of music into one minute?
#GigInAMinute on #SoundsLikeFridayNight. https://t.co/IUYj…",0.2732,0.116,0.884,0.0,71
@BBC,Mon Apr 23 09:34:07 +0000 2018,RT @bbcthree: This woman will write you a letter when you're going through hard times. https://t.co/A2ZkmvZD9w,-0.1027,0.0,0.909,0.091,72
@BBC,Mon Apr 23 08:32:15 +0000 2018,"RT @BBCBreakfast: We're celebrating 20 years of @carolkirkwood on BBC Breakfast! 🎂🎊
Here are just some of her best bits! 🙈😂 #20yearsofCarol…",0.8585,0.298,0.702,0.0,73
@BBC,Mon Apr 23 08:00:13 +0000 2018,🐮🥛 Is this the future of dairy farming?  https://t.co/goewsyXmgF,0.0,0.0,1.0,0.0,74
@BBC,Mon Apr 23 07:44:38 +0000 2018,"👶❤️ Royal baby on the way!

The Duchess of Cambridge has been admitted to hospital in the early stages of labour wi… https://t.co/FoLkBUkiwB",0.1759,0.071,0.929,0.0,75
@BBC,Mon Apr 23 07:30:49 +0000 2018,RT @BBCBreaking: Duchess of Cambridge has been admitted to hospital in the early stages of labour with her third child https://t.co/ST2R53a…,0.1027,0.065,0.935,0.0,76
@BBC,Mon Apr 23 07:30:05 +0000 2018,"Contrary to popular belief, we now hear more diverse voices than ever before and most people do not live in Faceboo… https://t.co/RLgNf8khvQ",0.4215,0.118,0.882,0.0,77
@BBC,Mon Apr 23 07:00:09 +0000 2018,🚀 Three things you didn’t know about going to Mars. https://t.co/pOPJz82fXB,0.0,0.0,1.0,0.0,78
@BBC,Sun Apr 22 20:17:08 +0000 2018,"Stand up comedy from halloumi enthusiast and absolute lad @joelycett. 😂

That's The Way, A-Ha A-Ha, Joe Lycett | 10… https://t.co/NHdfQKtLmC",0.6124,0.227,0.773,0.0,79
@BBC,Sun Apr 22 19:03:04 +0000 2018,The lives of two half-sisters and their drawing master get caught up in a deadly conspiracy revolving around a ment… https://t.co/Eczbbv1Xiq,-0.5267,0.0,0.841,0.159,80
@BBC,Sun Apr 22 18:00:24 +0000 2018,😍🐮 These cows have been let out for the first time in five months. https://t.co/RYBwAENw0L,0.0,0.0,1.0,0.0,81
@BBC,Sun Apr 22 16:00:22 +0000 2018,❤️🦍 Bolingo is learning to enhance his mental and physical wellbeing. https://t.co/PCd1vtd9mD,0.0,0.0,1.0,0.0,82
@BBC,Sun Apr 22 15:31:08 +0000 2018,It's a boy! 😍The gender of the UK's first polar bear cub to be born in 25 years has been confirmed... now we just n… https://t.co/ylwMjGfhBs,0.0,0.0,1.0,0.0,83
@BBC,Sun Apr 22 15:30:13 +0000 2018,RT @BBCNewsbeat: During the #LondonMarathon this man proposed to his girlfriend 💍❤️ https://t.co/k4EHQiRGo7,0.0,0.0,1.0,0.0,84
@BBC,Sun Apr 22 13:08:03 +0000 2018,"No business cards, a focus on ‘life-life balance’ and an average employee age of 25-years-old…

Is this the younges… https://t.co/fwXh4t9W84",-0.296,0.0,0.891,0.109,85
@BBC,Sun Apr 22 12:56:32 +0000 2018,"RT @BBC100women: In 1967, @KVSwitzer became the first woman to officially run the Boston Marathon.

Kathrine has gone on to run another 40…",0.0,0.0,1.0,0.0,86
@BBC,Sun Apr 22 12:15:00 +0000 2018,What a legend. 🙌 https://t.co/0weiFvPGwD,0.0,0.0,1.0,0.0,87
@BBC,Sun Apr 22 12:03:05 +0000 2018,This is how art is helping Beirut recover from the ravages of war. 🎨❤️️ https://t.co/BDswK8zvQE https://t.co/YywZCbNWtU,-0.4019,0.109,0.697,0.194,88
@BBC,Sun Apr 22 12:00:40 +0000 2018,"RT @BBCOne: Third place AND the British record. 

Go Mo! 🙌🙌 #LondonMarathon https://t.co/fJs3g0LSwk",0.0,0.0,1.0,0.0,89
@BBC,Sun Apr 22 12:00:34 +0000 2018,"RT @BBCOne: Running: not for everyone. 
#LondonMarathon @bbcsport https://t.co/ZgJ2hPF3K2",0.0,0.0,1.0,0.0,90
@BBC,Sun Apr 22 11:06:05 +0000 2018,Imagine a world where scientists are the people kids dreamed of becoming. 🔬💡🚀 @KarenLMasters takes us to her “scien… https://t.co/JYagPrcqhB,0.0,0.0,1.0,0.0,91
@BBC,Sun Apr 22 10:43:47 +0000 2018,"RT @bbcgetinspired: Running 26.2 miles = dedication ✅💯

But running it dressed as a minion or a giant rhino? Amazing 😂

#LondonMarathon #Ge…",0.5859,0.174,0.826,0.0,92
@BBC,Sun Apr 22 10:43:33 +0000 2018,"RT @BBCSport: What a moment for her! After making her marathon debut last year at the age of 33, Kenya's Vivian Cheruiyot has won her first…",0.6114,0.143,0.857,0.0,93
@BBC,Sun Apr 22 10:03:04 +0000 2018,"Before her family went into hiding, Anne Frank exchanged letters with a pen pal from America. 💌👉… https://t.co/WPpcqc0o7S",-0.296,0.0,0.879,0.121,94
@BBC,Sun Apr 22 09:06:18 +0000 2018,"RT @bbcgetinspired: 26.2 miles.
40,000 runners.
40,000 reasons to run.

It's the @LondonMarathon!

Live 👉 https://t.co/3dAqQTmdJ1

📺 @BBCOn…",0.0,0.0,1.0,0.0,95
@BBC,Sun Apr 22 09:04:04 +0000 2018,"If you thought being transgender was a recent development, the Ancient Greeks have news for you... https://t.co/qxl9lcqC0O",0.0,0.0,1.0,0.0,96
